date,open,high,low,close,adj close,volume
2004-03-19,1256.420044,1277.670044,1250.680054,1275.199951,1275.199951,0
2004-03-22,1275.199951,1294.060059,1253.160034,1258.959961,1258.959961,0
2004-03-23,1259.319946,1264.939941,1243.599976,1257.069946,1257.069946,0
2004-03-24,1256.790039,1257.989990,1239.319946,1239.810059,1239.810059,0
2004-03-25,1240.510010,1246.689941,1235.989990,1242.859985,1242.859985,0
2004-03-26,1243.459961,1244.119995,1211.010010,1211.030029,1211.030029,0
2004-03-29,1210.430054,1211.109985,1178.770020,1184.599976,1184.599976,0
2004-03-30,1184.260010,1207.150024,1184.260010,1198.020020,1198.020020,0
2004-03-31,1198.569946,1212.550049,1197.069946,1201.660034,1201.660034,0
2004-04-01,1202.140015,1217.939941,1202.140015,1211.270020,1211.270020,0
2004-04-02,1212.270020,1221.380005,1196.770020,1197.540039,1197.540039,0
2004-04-05,null,null,null,null,null,null
2004-04-06,1198.040039,1202.489990,1187.219971,1190.920044,1190.920044,0
2004-04-07,1190.869995,1190.869995,1169.270020,1182.359985,1182.359985,0
2004-04-08,null,null,null,null,null,null
2004-04-09,null,null,null,null,null,null
2004-04-12,1182.359985,1185.310059,1169.089966,1177.800049,1177.800049,0
2004-04-13,1178.300049,1202.500000,1178.300049,1202.500000,1202.500000,0
2004-04-14,1200.500000,1205.319946,1189.880005,1192.150024,1192.150024,0
2004-04-15,1191.609985,1191.609985,1171.000000,1175.630005,1175.630005,0
2004-04-16,1175.630005,1175.630005,1161.400024,1162.800049,1162.800049,0
2004-04-19,1164.300049,1170.209961,1126.670044,1131.369995,1131.369995,0
2004-04-20,1131.640015,1141.550049,1102.579956,1108.449951,1108.449951,0
2004-04-21,1108.310059,1109.770020,1077.589966,1084.780029,1084.780029,0
2004-04-22,1085.890015,1104.930054,1084.890015,1092.400024,1092.400024,0
2004-04-23,1092.180054,1142.959961,1075.239990,1142.959961,1142.959961,0
2004-04-26,1144.180054,1165.800049,1137.300049,1153.619995,1153.619995,0
2004-04-27,1152.140015,1157.400024,1132.819946,1138.069946,1138.069946,0
2004-04-28,1138.069946,1141.510010,1124.729980,1133.219971,1133.219971,0
