underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
MELI,37.03,QMB080920P00075000,put,09/20/2008,01/31/2008,75.0,0.0,39.9,40.7,0,0,0.9474,1.0234,-0.6825,0.0123
MELI,37.03,QMB080920C00080000,call,09/20/2008,01/31/2008,80.0,2.25,2.55,3.2,10,108,0.8657,0.9349,0.2442,0.0119
MELI,37.03,QMB080920P00080000,put,09/20/2008,01/31/2008,80.0,0.0,44.4,45.2,0,0,0.9553,1.0341,-0.7068,0.0117
MELI,37.03,QMB080920C00085000,call,09/20/2008,01/31/2008,85.0,2.15,2.2,2.7,10,41,0.8656,0.9224,0.2153,0.0112
MELI,37.03,QMB080920P00085000,put,09/20/2008,01/31/2008,85.0,0.0,48.9,50.3,0,0,0.9572,1.0976,-0.7266,0.0112
MELI,37.03,QMB080920C00090000,call,09/20/2008,01/31/2008,90.0,1.85,1.85,2.3,40,34,0.8575,0.9137,0.1902,0.0104
MELI,37.03,QMB080920P00090000,put,09/20/2008,01/31/2008,90.0,0.0,53.5,54.4,0,0,0.9645,1.0598,-0.7422,0.0107
MELI,37.03,QMB080920C00095000,call,09/20/2008,01/31/2008,95.0,1.55,1.55,1.95,10,0,0.8497,0.9045,0.1687,0.0097
MELI,37.03,QMB080920P00095000,put,09/20/2008,01/31/2008,95.0,0.0,58.2,59.1,0,0,0.9789,1.0771,-0.7541,0.0102
MELI,37.03,QMB080920C00100000,call,09/20/2008,01/31/2008,100.0,1.3,1.3,1.7,30,20,0.8426,0.9012,0.1503,0.009000000000000001
MELI,37.03,QMB080920P00100000,put,09/20/2008,01/31/2008,100.0,0.0,63.0,64.4,0,0,1.0018,1.1536,-0.7626,0.0098
MELI,37.03,QMB080920C00105000,call,09/20/2008,01/31/2008,105.0,1.1,1.05,1.45,10,35,0.8288,0.8936,0.1346,0.0084
MELI,37.03,QMB080920P00105000,put,09/20/2008,01/31/2008,105.0,0.0,67.8,68.9,0,0,1.0224,1.1457,-0.7682,0.0095
MELI,37.03,OXA090117C00015000,call,01/17/2009,01/31/2008,15.0,0.0,24.2,25.4,0,0,0.998,1.2218,0.9129999999999999,0.0037
MELI,37.03,OXA090117P00015000,put,01/17/2009,01/31/2008,15.0,0.0,2.2,2.65,0,0,1.0552,1.1393,-0.0787,0.0037
MELI,37.03,OXA090117C00017500,call,01/17/2009,01/31/2008,17.5,0.0,22.7,23.9,0,0,1.0079,1.1933,0.89,0.0045
MELI,37.03,OXA090117P00017500,put,01/17/2009,01/31/2008,17.5,0.0,3.0,3.5,0,0,1.0375,1.115,-0.1019,0.0045
MELI,37.03,OXA090117C00020000,call,01/17/2009,01/31/2008,20.0,19.7,21.2,22.4,2,5,0.9974,1.1567,0.866,0.0053
MELI,37.03,OXA090117P00020000,put,01/17/2009,01/31/2008,20.0,4.0,4.0,4.5,0,118,1.0345,1.1011,-0.126,0.0053
MELI,37.03,OXA090117C00025000,call,01/17/2009,01/31/2008,25.0,19.2,18.6,19.8,1,6,0.9872,1.1147,0.8163,0.0067
MELI,37.03,OXA090117P00025000,put,01/17/2009,01/31/2008,25.0,6.2,6.2,6.8,1,0,1.0153,1.0794,-0.1761,0.0068
MELI,37.03,OXA090117C00030000,call,01/17/2009,01/31/2008,30.0,0.0,16.3,17.5,0,0,0.9718,1.0817,0.7657,0.008
MELI,37.03,OXA090117P00030000,put,01/17/2009,01/31/2008,30.0,7.5,8.6,9.4,0,22,0.9855,1.0587,-0.2268,0.008
MELI,37.03,OXA090117C00035000,call,01/17/2009,01/31/2008,35.0,14.6,14.5,15.4,0,7,0.9740000000000001,1.0481,0.7152,0.009000000000000001
MELI,37.03,OXA090117P00035000,put,01/17/2009,01/31/2008,35.0,11.6,11.5,12.3,1,0,0.9769,1.0428,-0.2769,0.009000000000000001
MELI,37.03,OXA090117C00040000,call,01/17/2009,01/31/2008,40.0,12.5,12.5,13.7,2,26,0.9403,1.032,0.6657,0.0099
MELI,37.03,OXA090117P00040000,put,01/17/2009,01/31/2008,40.0,15.5,14.6,15.4,0,47,0.9646,1.0259,-0.3254,0.0098
MELI,37.03,OXA090117C00045000,call,01/17/2009,01/31/2008,45.0,12.6,11.0,12.1,0,27,0.93,1.0101,0.6175,0.0105
MELI,37.03,OXA090117P00045000,put,01/17/2009,01/31/2008,45.0,14.5,18.0,18.9,0,26,0.9594,1.0252,-0.3716,0.0104
